y_pred,y_test,誤差,平方,時間,時段,總發電量,氣象,外氣
14.4,31.0,-1.14625405,1.314,7時00分,7,31,陰,23.6
35.8,41.1,-0.149453075,0.022,7時00分,7,41.125,晴,23.8
15.2,24.6,-0.620101751,0.385,7時00分,7,24.625,陰,24.2
65.6,56.5,0.139278727,0.019,8時00分,8,56.5,多雲,24.7
65.2,23.8,0.635800445,0.404,13時00分,13,23.75,陰有雨,24.8
37.3,26.4,0.292699563,0.086,7時00分,7,26.375,晴,25
72.0,53.0,0.263698673,0.070,8時00分,8,53,晴,25.1
38.3,32.1,0.161172989,0.026,7時00分,7,32.125,晴,25.8
67.2,63.3,0.058140724,0.003,8時00分,8,63.25,多雲,25.9
92.9,97.6,-0.051240357,0.003,9時00分,9,97.625,多雲,26.6
33.6,37.4,-0.112466569,0.013,7時00分,7,37.375,多雲,26.7
53.3,23.8,0.554349711,0.307,8時00分,8,23.75,陰,27
99.5,103.9,-0.044418782,0.002,9時00分,9,103.875,晴,27.2
88.7,53.0,0.402249698,0.162,12時00分,12,53,陰,27.3
78.8,40.0,0.492083012,0.242,9時00分,9,40,陰,27.5
54.4,25.4,0.533777025,0.285,8時00分,8,25.375,陰,27.9
58.8,41.3,0.298935993,0.089,14時00分,14,41.25,陰,28.3
92.6,124.1,-0.340252114,0.116,10時00分,10,124.125,多雲,28.3
95.1,79.3,0.166965942,0.028,9時00分,9,79.25,多雲,28.4
95.3,92.6,0.027662645,0.001,9時00分,9,92.625,多雲,28.5
101.5,120.9,-0.191279117,0.037,11時00分,11,120.875,多雲,28.5
90.2,40.9,0.546727642,0.299,12時00分,12,40.875,陰,28.5
17.3,14.4,0.168200294,0.028,16時00分,16,14.375,陰,28.8
95.8,107.0,-0.117329216,0.014,9時00分,9,107,多雲,28.9
32.7,21.6,0.337775461,0.114,16時00分,16,21.625,多雲,28.9
27.8,37.5,-0.349487238,0.122,15時00分,15,37.5,陰,29.1
75.3,48.8,0.3529871,0.125,14時00分,14,48.75,多雲,29.3
102.2,116.8,-0.142045664,0.020,9時00分,9,116.75,晴,29.4
102.9,124.1,-0.206826856,0.043,11時00分,11,124.125,多雲,29.6
100.3,119.6,-0.192223217,0.037,10時00分,10,119.625,晴,29.8
107.1,80.5,0.248103713,0.062,12時00分,12,80.5,多雲,29.8
61.0,100.5,-0.648058882,0.420,14時00分,14,100.5,陰,30
28.9,30.8,-0.063198185,0.004,15時00分,15,30.75,陰,30
94.9,98.8,-0.040779041,0.002,10時00分,10,98.75,多雲,30.1
44.3,54.9,-0.238840454,0.057,15時00分,15,54.875,多雲,30.1
61.2,65.1,-0.063564058,0.004,14時00分,14,65.125,陰,30.2
71.5,84.6,-0.183127547,0.034,13時00分,13,84.625,陰,30.2
71.5,86.5,-0.209341599,0.044,13時00分,13,86.5,陰,30.2
72.1,97.5,-0.35152899,0.124,13時00分,13,97.5,陰有雨,30.3
109.8,129.8,-0.181467409,0.033,11時00分,11,129.75,晴,30.5
19.5,22.8,-0.163713684,0.027,16時00分,16,22.75,陰,30.6
108.1,110.4,-0.021324093,0.000,12時00分,12,110.375,多雲,30.6
92.9,86.3,0.072073543,0.005,12時00分,12,86.25,陰,30.7
93.4,107.0,-0.146045056,0.021,13時00分,13,107,晴,30.8
29.9,31.0,-0.035749115,0.001,15時00分,15,31,陰,30.8
51.1,68.6,-0.341952835,0.117,15時00分,15,68.625,晴,30.9
45.3,36.5,0.194319363,0.038,15時00分,15,36.5,多雲,30.9
114.4,142.4,-0.244435836,0.060,12時00分,12,142.375,晴,31
101.8,134.3,-0.318120838,0.101,10時00分,10,134.25,晴,31
101.8,113.8,-0.116843541,0.014,10時00分,10,113.75,晴,31
110.5,91.1,0.174973277,0.031,11時00分,11,91.125,晴,31
51.6,54.0,-0.045658702,0.002,15時00分,15,54,晴,31.3
72.9,117.4,-0.609810111,0.372,13時00分,13,117.375,陰,31.3
93.7,74.0,0.210288186,0.044,12時00分,12,74,陰,31.3
41.6,16.9,0.594735668,0.354,16時00分,16,16.875,晴,31.4
41.8,27.1,0.350540081,0.123,16時00分,16,27.125,晴,31.5
30.8,39.0,-0.265744622,0.071,15時00分,15,39,陰,31.5
78.1,74.9,0.041512434,0.002,14時00分,14,74.875,多雲,31.5
115.2,130.1,-0.129898948,0.017,12時00分,12,130.125,晴,31.6
105.9,64.1,0.394338307,0.156,11時00分,11,64.125,多雲,32
21.3,15.0,0.296211839,0.088,16時00分,16,15,陰,32
78.9,69.1,0.12359948,0.015,14時00分,14,69.125,多雲,32.1
95.0,125.3,-0.318388665,0.101,13時00分,13,125.25,晴,32.1
96.2,63.0,0.345282522,0.119,12時00分,12,63,陰,33.3
