,y_pred,y_test,時間,總發電量,氣象,外氣
337,84.68701221890896,52.125,2024/11/01 11:00:00,52.125,陰,28.2
102,71.60747980840974,82.125,2024/10/06 08:00:00,82.125,晴,27.1
274,57.57344540690139,56.5,2024/10/25 08:00:00,56.5,多雲,24.7
158,86.47630337728492,95.75,2024/10/10 12:00:00,95.75,陰,30.5
262,62.45302537469087,101.5,2024/10/24 09:00:00,101.5,陰,24.9
307,59.79426101238528,38.875,2024/10/29 14:00:00,38.875,陰,31.0
75,8.754017944519262,31.0,2024/10/04 07:00:00,31.0,陰,23.6
213,103.6148343847061,120.875,2024/10/20 12:00:00,120.875,多雲,30.5
459,83.03457554549858,83.5,2024/11/14 12:00:00,83.5,陰,29.3
116,99.64861448924646,116.75,2024/10/07 09:00:00,116.75,晴,29.4
176,104.10281788838009,98.75,2024/10/15 10:00:00,98.75,多雲,30.1
41,76.92591403824878,51.25,2024/10/01 10:00:00,51.25,陰,26.6
447,72.491398217401,78.5,2024/11/13 09:00:00,78.5,陰,28.4
164,115.57276697518961,129.75,2024/10/14 11:00:00,129.75,晴,30.5
250,97.50617287745628,120.625,2024/10/23 10:00:00,120.625,多雲,27.8
502,35.27232265180072,17.0,2024/11/18 08:00:00,17.0,陰,22.9
216,45.92398466768034,36.5,2024/10/20 15:00:00,36.5,多雲,30.9
107,103.2773248763982,129.0,2024/10/06 13:00:00,129.0,晴,31.7
200,110.76541312264177,118.875,2024/10/19 12:00:00,118.875,晴,30.5
384,69.47571505093606,75.125,2024/11/07 14:00:00,75.125,多雲,28.4
290,65.8947532064772,79.875,2024/10/28 09:00:00,79.875,陰,26.1
214,95.5531248331648,97.875,2024/10/20 13:00:00,97.875,多雲,31.5
391,54.1355164478739,48.375,2024/11/08 09:00:00,48.375,陰,22.0
105,117.0068202384339,91.125,2024/10/06 11:00:00,91.125,晴,31.0
260,4.738668807435211,29.75,2024/10/24 07:00:00,29.75,陰,22.2
242,30.506317576152334,39.0,2024/10/22 15:00:00,39.0,陰,31.5
277,87.91035664052923,68.5,2024/10/25 12:00:00,68.5,陰,31.0
491,82.74647356124952,90.25,2024/11/17 09:00:00,90.25,多雲,26.0
223,90.2035505301199,88.875,2024/10/21 09:00:00,88.875,多雲,28.6
468,63.313457332637455,37.25,2024/11/15 09:00:00,37.25,陰,25.2
83,23.622861912579673,37.5,2024/10/04 15:00:00,37.5,陰,29.1
239,87.04992468258264,86.25,2024/10/22 12:00:00,86.25,陰,30.7
248,41.868967662724515,66.875,2024/10/23 08:00:00,66.875,陰,25.2
185,110.67977532101803,100.5,2024/10/18 10:00:00,100.5,晴,29.9
326,66.36392452096152,18.625,2024/10/31 09:00:00,18.625,陰有雨,25.0
58,62.82236859189173,23.75,2024/10/02 13:00:00,23.75,陰有雨,24.8
446,43.58983157861769,68.875,2024/11/13 08:00:00,68.875,陰,25.8
77,64.74751059588175,71.875,2024/10/04 09:00:00,71.875,陰,25.7
7,93.35846770925737,108.375,2024/09/27 09:00:00,108.375,多雲,29.7
173,14.203420344847615,37.0,2024/10/15 07:00:00,37.0,陰,25.5
308,26.204157786419415,30.75,2024/10/29 15:00:00,30.75,陰,30.0
367,47.05153969998993,43.125,2024/11/05 15:00:00,43.125,晴,28.8
202,83.5097494524444,82.0,2024/10/19 14:00:00,82.0,晴,30.8
199,114.71233501724302,99.875,2024/10/19 11:00:00,99.875,晴,30.2
449,53.48442665411034,76.625,2024/11/13 14:00:00,76.625,陰,28.8
122,53.07456340561601,68.625,2024/10/07 15:00:00,68.625,晴,30.9
496,82.93612814714668,78.75,2024/11/17 14:00:00,78.75,晴,30.6
34,7.555193955671001,19.625,2024/09/30 16:00:00,19.625,陰,28.3
253,74.68605534130843,84.625,2024/10/23 13:00:00,84.625,陰,30.2
